Date       ,Time    ,League                ,Season  ,Match Day ,home_team                                   ,away_team ,goal_minute ,team_side ,player_name                 ,goal_type
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,Police FC Vs Gaddafi FC                     ,          ,38          ,away      ,Amos Kirya                  ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,Police FC Vs Gaddafi FC                     ,          ,67          ,home      ,Juma Balinya                ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,Police FC Vs Gaddafi FC                     ,          ,71          ,away      ,Hassan Musana               ,Regular
07/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        9 ,Police FC Vs Gaddafi FC                     ,          ,73          ,home      ,Herman Wasswa Nteza         ,Regular
16/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       18 ,Tooro United FC Vs SC Villa                 ,          ,3           ,away      ,Benard Coulibally Agele     ,Regular
16/02/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       18 ,Tooro United FC Vs SC Villa                 ,          ,55          ,home      ,Muhammed Kagawa Ssenoga     ,Penalty
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,2           ,home      ,Alex Kitata                 ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,22          ,home      ,Steven Munguchi             ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,30          ,home      ,Richard Basangwa            ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,75          ,home      ,Ronald Bithum Nsumbiano     ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,78          ,home      ,Richard Basangwa            ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,83          ,home      ,Richard Basangwa            ,Regular
06/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       28 ,Gaddafi FC Vs Tooro United FC               ,          ,85          ,home      ,Ronald Bithum Nsumbiano     ,Regular
10/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Gaddafi FC Vs SC Villa                      ,          ,16          ,home      ,Umar Kyeyune                ,Own Goal
10/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Gaddafi FC Vs SC Villa                      ,          ,19          ,home      ,Hassan Musana               ,Penalty
10/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       10 ,Gaddafi FC Vs SC Villa                      ,          ,75          ,home      ,Jamaldine Karenzi Bucochera ,Regular
23/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        2 ,KCCA FC Vs Gaddafi FC                       ,          ,13          ,home      ,Ashraf Mugume               ,Regular
23/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        2 ,KCCA FC Vs Gaddafi FC                       ,          ,38          ,home      ,Davis Kasirye               ,Regular
23/10/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,        2 ,KCCA FC Vs Gaddafi FC                       ,          ,53          ,away      ,Brian Kalumba               ,Regular
25/03/2022 ,2:00 pm ,Uganda Premier League ,2021/22 ,       22 ,Mbarara City FC Vs Express FC               ,          ,            ,          ,                            ,
21/05/2022 ,4:00 pm ,Uganda Premier League ,2021/22 ,       30 ,Arua Hill SC Vs Express FC                  ,          ,90+2        ,home      ,Wahab Gadaffi               ,Regular
21/12/2021 ,3:00 pm ,Uganda Premier League ,2021/22 ,       12 ,Gaddafi FC Vs Onduparaka FC                 ,          ,11          ,away      ,Shaban Mohammad Jagason     ,Regular
