Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
06/01/2024,4:00 pm,Uganda Premier League,2023/24,15,BUL FC,Mbarara City FC,40,home,Gerald Ogweti,Regular
06/01/2024,4:00 pm,Uganda Premier League,2023/24,15,BUL FC,Mbarara City FC,45,away,Joseph Akandwanaho,Regular
08/02/2024,7:00 pm,Uganda Premier League,2023/24,17,Vipers SC,Gaddafi FC,,,,
15/09/2023,4:00 pm,Uganda Premier League,2023/24,1,SC Villa,Kitara FC,15,away,Denis Omedi,Regular
15/09/2023,4:00 pm,Uganda Premier League,2023/24,1,SC Villa,Kitara FC,44,home,Charles Lwanga,Regular
15/09/2023,4:00 pm,Uganda Premier League,2023/24,1,SC Villa,Kitara FC,90+5,home,Elivis Ngonde,Own Goal
26/04/2024,4:00 pm,Uganda Premier League,2023/24,25,Busoga United FC,Wakiso Giants FC,16,home,Emmanuel Ajo,Penalty
26/04/2024,4:00 pm,Uganda Premier League,2023/24,25,Busoga United FC,Wakiso Giants FC,19,away,Kenneth Kimera,Regular
26/04/2024,4:00 pm,Uganda Premier League,2023/24,25,Busoga United FC,Wakiso Giants FC,80,home,Bashamu Mugwa,Regular
08/03/2024,4:00 pm,Uganda Premier League,2023/24,20,URA FC,BUL FC,1,home,Norman Namanya,Regular
08/03/2024,4:00 pm,Uganda Premier League,2023/24,20,URA FC,BUL FC,21,away,Amos Kirya,Regular
02/05/2024,4:00 pm,Uganda Premier League,2023/24,26,UPDF FC,Soltilo Bright Stars FC,49,home,Bernard Muwanga,Penalty
28/09/2023,2:00 pm,Uganda Premier League,2023/24,3,Soltilo Bright Stars FC,URA FC,19,away,Ivan Ahimbisibwe,Regular
28/09/2023,2:00 pm,Uganda Premier League,2023/24,3,Soltilo Bright Stars FC,URA FC,78,home,Nelson Senkatuka,Regular
28/12/2023,4:00 pm,Uganda Premier League,2023/24,13,UPDF FC,KCCA FC,20,away,Ashraf Mugume,Regular
28/12/2023,4:00 pm,Uganda Premier League,2023/24,13,UPDF FC,KCCA FC,55,home,Rashid Faridi,Regular
28/12/2023,4:00 pm,Uganda Premier League,2023/24,13,UPDF FC,KCCA FC,60,away,Fillbert Obenchan,Regular
18/05/2024,3:00 pm,Uganda Premier League,2023/24,30,Kitara FC,Gaddafi FC,5,home,Denis Omedi,Regular
18/05/2024,3:00 pm,Uganda Premier League,2023/24,30,Kitara FC,Gaddafi FC,67,home,Denis Omedi,Regular
18/05/2024,3:00 pm,Uganda Premier League,2023/24,30,Kitara FC,Gaddafi FC,73,home,Paul Mucureezi,Regular
06/12/2023,7:00 pm,Uganda Premier League,2023/24,10,NEC FC,URA FC,41,home,Dhata Joseph Stephen Lujang,Regular
06/12/2023,7:00 pm,Uganda Premier League,2023/24,10,NEC FC,URA FC,55,home,Cromwel Rwothomio Abang,Regular
30/11/2023,4:00 pm,Uganda Premier League,2023/24,9,SC Villa,Busoga United FC,20,home,Umar Lutalo,Regular
30/11/2023,4:00 pm,Uganda Premier League,2023/24,9,SC Villa,Busoga United FC,73,home,Ronald Ssekiganda,Regular
29/03/2024,4:00 pm,Uganda Premier League,2023/24,22,Kitara FC,BUL FC,,,,
10/12/2023,3:00 pm,Uganda Premier League,2023/24,11,BUL FC,NEC FC,45+1,away,Rashid Okocha,Regular
10/12/2023,3:00 pm,Uganda Premier League,2023/24,11,BUL FC,NEC FC,84,home,Samuel Kayongo Ssekamatte,Regular
24/11/2023,4:30 pm,Uganda Premier League,2023/24,8,Express FC,Maroons FC,30,away,Solomon Walusimbi,Regular
28/03/2024,4:00 pm,Uganda Premier League,2023/24,22,Maroons FC,Express FC,51,home,Fred Amaku,Regular
28/03/2024,4:00 pm,Uganda Premier League,2023/24,22,Maroons FC,Express FC,63,home,Ronald Orombi,Regular
04/02/2024,3:00 pm,Uganda Premier League,2023/24,16,Soltilo Bright Stars FC,Wakiso Giants FC,88,home,Nelson Senkatuka,Regular
05/04/2024,4:00 pm,Uganda Premier League,2023/24,23,Mbarara City FC,Maroons FC,,,,
09/03/2024,4:00 pm,Uganda Premier League,2023/24,20,UPDF FC,Busoga United FC,18,home,Brian Kalumba,Regular
09/03/2024,4:00 pm,Uganda Premier League,2023/24,20,UPDF FC,Busoga United FC,80,home,Ezekiel Katende,Regular
23/12/2023,4:00 pm,Uganda Premier League,2023/24,12,Gaddafi FC,Wakiso Giants FC,46,away,Hassan Ssenyonjo,Regular
21/12/2023,4:00 pm,Uganda Premier League,2023/24,12,Busoga United FC,URA FC,12,home,Hussein Ssajjabi,Regular
21/12/2023,4:00 pm,Uganda Premier League,2023/24,12,Busoga United FC,URA FC,33,home,Emmanuel Ajo,Regular
21/12/2023,4:00 pm,Uganda Premier League,2023/24,12,Busoga United FC,URA FC,67,away,Bruno Junior Bunyaga,Regular
21/12/2023,4:00 pm,Uganda Premier League,2023/24,12,Busoga United FC,URA FC,82,away,Moses Aliro Okabo,Regular
11/11/2023,4:00 pm,Uganda Premier League,2023/24,7,Maroons FC,NEC FC,55,away,Allan Mugalu,Regular
17/09/2023,3:00 pm,Uganda Premier League,2023/24,1,UPDF FC,URA FC,,,,
11/12/2023,4:00 pm,Uganda Premier League,2023/24,11,UPDF FC,Mbarara City FC,50,away,Henry Kitegenyi,Regular
11/12/2023,4:00 pm,Uganda Premier League,2023/24,11,UPDF FC,Mbarara City FC,57,home,Robert Eseru,Regular
13/03/2024,7:00 pm,Uganda Premier League,2023/24,21,NEC FC,Maroons FC,22,home,Dhata Joseph Stephen Lujang,Penalty
13/03/2024,7:00 pm,Uganda Premier League,2023/24,21,NEC FC,Maroons FC,38,home,Allan Mugalu,Regular
13/03/2024,7:00 pm,Uganda Premier League,2023/24,21,NEC FC,Maroons FC,89,away,Isaac Mpagi Kajubi,Regular
08/03/2024,4:13 pm,Uganda Premier League,2023/24,20,Soltilo Bright Stars FC,Mbarara City FC,3,home,Sharif Nsereko,Regular
08/03/2024,4:13 pm,Uganda Premier League,2023/24,20,Soltilo Bright Stars FC,Mbarara City FC,42,away,Henry Kitegenyi,Penalty
