Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,7,away,Sam Ssenyonjo,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,26,home,Vincent Kasoki,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,41,home,Nathan Oloro,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,54,away,Andrew Kawooya,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,56,away,Sam Ssenyonjo,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,61,away,Charles Lwanga,Penalty
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,65,away,Sam Ssenyonjo,Regular
18/06/2021,3:00 pm,Uganda Premier League,2020/21,27,Kitara FC Vs KCCA FC,,67,away,Sam Ssenyonjo,Regular
11/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Busoga United FC Vs Wakiso Giants FC,,15,home,Shariph Sheen Kimbowa,Regular
11/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Busoga United FC Vs Wakiso Giants FC,,79,away,Viane Ssekajugo,Regular
02/03/2021,4:00 pm,Uganda Premier League,2020/21,11,Kitara FC Vs Express FC,,75,away,Frank Kalanda,Penalty
08/05/2021,3:00 pm,Uganda Premier League,2020/21,22,Express FC Vs Police FC,,4,home,Eric Kenzo Kambale,Regular
08/05/2021,3:00 pm,Uganda Premier League,2020/21,22,Express FC Vs Police FC,,47,home,Godfrey Lwesibawa,Regular
15/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Police FC Vs Busoga United FC,,9,home,Derrick Kakooza,Regular
15/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Police FC Vs Busoga United FC,,24,home,Ben Ocen,Regular
15/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Police FC Vs Busoga United FC,,71,home,Mubaraka Nsubuga,Regular
26/02/2021,4:00 pm,Uganda Premier League,2020/21,10,Express FC Vs Wakiso Giants FC,,6,home,George Senkaaba,Regular
26/02/2021,4:00 pm,Uganda Premier League,2020/21,10,Express FC Vs Wakiso Giants FC,,10,home,Charles Musiige,Regular
26/02/2021,4:00 pm,Uganda Premier League,2020/21,10,Express FC Vs Wakiso Giants FC,,52,home,Godfrey Lwesibawa,Regular
05/03/2021,4:00 pm,Uganda Premier League,2020/21,12,URA FC Vs Kyetume FC,,2,home,Cromwel Rwothomio Abang,Regular
05/03/2021,4:00 pm,Uganda Premier League,2020/21,12,URA FC Vs Kyetume FC,,12,home,Steven Dese Mukwala,Regular
12/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Kyetume FC Vs Express FC,,4,home,Ezera Kaye Kizito,Regular
12/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Kyetume FC Vs Express FC,,16,away,Eric Kenzo Kambale,Regular
12/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Kyetume FC Vs Express FC,,59,away,Eric Kenzo Kambale,Regular
12/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Kyetume FC Vs Express FC,,66,away,Eric Kenzo Kambale,Regular
12/05/2021,4:00 pm,Uganda Premier League,2020/21,23,Kyetume FC Vs Express FC,,90+2,home,Ezra Bida,Regular
18/05/2021,4:00 pm,Uganda Premier League,2020/21,25,Onduparaka FC Vs Soltilo Bright Stars FC,,,,,
15/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Onduparaka FC Vs Wakiso Giants FC,,46,home,Living Kabon,Regular
15/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Onduparaka FC Vs Wakiso Giants FC,,47,away,Hassan Wasswa Sempewo,Regular
16/02/2021,4:00 pm,Uganda Premier League,2020/21,7,Kitara FC Vs Mbarara City FC,,5,away,Solomon Ali Okwalinga,Regular
17/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Busoga United FC Vs Police FC,,21,home,Paul Ssekulima,Regular
17/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Busoga United FC Vs Police FC,,59,away,Herman Wasswa Nteza,Regular
17/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Busoga United FC Vs Police FC,,90+2,home,Franco Onen,Regular
19/02/2021,4:00 pm,Uganda Premier League,2020/21,8,Soltilo Bright Stars FC Vs UPDF FC,,4,home,Samuel Kayongo Ssekamatte,Regular
19/02/2021,4:00 pm,Uganda Premier League,2020/21,8,Soltilo Bright Stars FC Vs UPDF FC,,61,home,Sulaiman Sekagya Ssebbunza,Penalty
19/02/2021,4:00 pm,Uganda Premier League,2020/21,8,Soltilo Bright Stars FC Vs UPDF FC,,73,home,Jamir Kisitu Nvule,Regular
14/04/2021,4:00 pm,Uganda Premier League,2020/21,17,SC Villa Vs Express FC,,,,,
17/02/2021,4:00 pm,Uganda Premier League,2020/21,7,Wakiso Giants FC Vs SC Villa,,12,home,Kipson Atuheire,Regular
17/02/2021,4:00 pm,Uganda Premier League,2020/21,7,Wakiso Giants FC Vs SC Villa,,28,away,Joseph Nsubuga,Own Goal
17/02/2021,4:00 pm,Uganda Premier League,2020/21,7,Wakiso Giants FC Vs SC Villa,,53,away,Salim Abdallah,Regular
17/02/2021,4:00 pm,Uganda Premier League,2020/21,7,Wakiso Giants FC Vs SC Villa,,90,away,Salim Abdallah,Regular
08/12/2020,4:00 pm,Uganda Premier League,2020/21,2,URA FC Vs Soltilo Bright Stars FC,,,,,
13/02/2021,4:00 pm,Uganda Premier League,2020/21,6,Vipers SC Vs UPDF FC,,82,home,Yunus Junior Ssentamu,Regular
16/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Vipers SC Vs Kitara FC,,55,away,Brian Mululi Mayanja,Regular
16/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Vipers SC Vs Kitara FC,,82,home,Paul Mucureezi,Regular
16/12/2020,4:00 pm,Uganda Premier League,2020/21,4,Vipers SC Vs Kitara FC,,83,home,Dan Muzeyi Sserunkuma,Regular
16/03/2021,4:00 pm,Uganda Premier League,2020/21,15,Police FC Vs Express FC,,83,away,Eric Kenzo Kambale,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,Mbarara City FC Vs URA FC,,30,away,Steven Dese Mukwala,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,Mbarara City FC Vs URA FC,,80,home,Jude Ssemugabi,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,BUL FC Vs SC Villa,,5,away,Emmanuel Alex Wasswa,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,BUL FC Vs SC Villa,,31,home,Richard Wandyaka,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,BUL FC Vs SC Villa,,55,home,Musa Esenu,Regular
04/12/2020,4:00 pm,Uganda Premier League,2020/21,1,BUL FC Vs SC Villa,,77,away,Nicholas Kabonge,Regular
18/05/2021,4:00 pm,Uganda Premier League,2020/21,25,Kitara FC Vs MYDA FC,,10,home,Isaac Tumusiime,Regular
18/05/2021,4:00 pm,Uganda Premier League,2020/21,25,Kitara FC Vs MYDA FC,,39,home,Johnstuart Mwesigwa,Regular
18/05/2021,4:00 pm,Uganda Premier League,2020/21,25,Kitara FC Vs MYDA FC,,44,home,Isaac Tumusiime,Regular
18/05/2021,4:00 pm,Uganda Premier League,2020/21,25,Kitara FC Vs MYDA FC,,90,away,Peter Mutebi,Regular
18/12/2020,4:00 pm,Uganda Premier League,2020/21,5,Wakiso Giants FC Vs Soltilo Bright Stars FC,,43,away,Joseph Janjali,Regular
18/12/2020,4:00 pm,Uganda Premier League,2020/21,5,Wakiso Giants FC Vs Soltilo Bright Stars FC,,46,home,Viane Ssekajugo,Regular
18/12/2020,4:00 pm,Uganda Premier League,2020/21,5,Wakiso Giants FC Vs Soltilo Bright Stars FC,,77,home,Ibrahim Kasule,Regular
18/12/2020,4:00 pm,Uganda Premier League,2020/21,5,Wakiso Giants FC Vs Soltilo Bright Stars FC,,88,away,Ronald Ssempala,Regular
10/03/2021,4:00 pm,Uganda Premier League,2020/21,13,Soltilo Bright Stars FC Vs BUL FC,,6,away,Deogratious Ojok,Regular
10/03/2021,4:00 pm,Uganda Premier League,2020/21,13,Soltilo Bright Stars FC Vs BUL FC,,69,away,Robert Mukoghotya,Regular
23/02/2021,4:00 pm,Uganda Premier League,2020/21,9,Wakiso Giants FC Vs KCCA FC,,41,away,Samson Andrew Kigozi,Regular
23/02/2021,4:00 pm,Uganda Premier League,2020/21,9,Wakiso Giants FC Vs KCCA FC,,45,home,Rahmat Kigongo Ssenfuka,Penalty
13/04/2021,4:00 pm,Uganda Premier League,2020/21,17,BUL FC Vs Kyetume FC,,72,home,Robert Mukoghotya,Regular
13/04/2021,4:00 pm,Uganda Premier League,2020/21,17,BUL FC Vs Kyetume FC,,84,away,Raymond Walugembe,Regular
16/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Kitara FC Vs Vipers SC,,31,away,Yunus Junior Ssentamu,Regular
16/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Kitara FC Vs Vipers SC,,63,away,Yunus Junior Ssentamu,Penalty
16/04/2021,4:00 pm,Uganda Premier League,2020/21,18,Kitara FC Vs Vipers SC,,73,away,Paul Mucureezi,Regular
24/04/2021,4:00 pm,Uganda Premier League,2020/21,20,Mbarara City FC Vs SC Villa,,9,home,Jude Ssemugabi,Regular
24/04/2021,4:00 pm,Uganda Premier League,2020/21,20,Mbarara City FC Vs SC Villa,,55,away,Emmanuel Alex Wasswa,Regular
24/04/2021,4:00 pm,Uganda Premier League,2020/21,20,Mbarara City FC Vs SC Villa,,90+2,home,Henry Kitegenyi,Regular
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,15,away,Nicholas Kasozi,Regular
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,30,home,Nathan Oloro,Penalty
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,53,home,Nathan Oloro,Penalty
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,61,away,Sharif Saaka,Regular
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,78,home,Nathan Oloro,Regular
27/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Kitara FC Vs Kyetume FC,,88,home,Nathan Oloro,Regular
12/12/2020,3:00 pm,Uganda Premier League,2020/21,3,Wakiso Giants FC Vs Vipers SC,,7,away,Shaban Mohammad Jagason,Regular
12/12/2020,3:00 pm,Uganda Premier League,2020/21,3,Wakiso Giants FC Vs Vipers SC,,65,home,Viane Ssekajugo,Regular
03/12/2020,4:00 pm,Uganda Premier League,2020/21,1,Soltilo Bright Stars FC Vs KCCA FC,,22,away,Brian Aheebwa,Regular
03/12/2020,4:00 pm,Uganda Premier League,2020/21,1,Soltilo Bright Stars FC Vs KCCA FC,,28,away,Sam Ssenyonjo,Regular
03/12/2020,4:00 pm,Uganda Premier League,2020/21,1,Soltilo Bright Stars FC Vs KCCA FC,,88,home,Joseph Akandwanaho,Regular
12/12/2020,4:00 pm,Uganda Premier League,2020/21,3,Express FC Vs Soltilo Bright Stars FC,,3,home,Frank Kalanda,Regular
12/12/2020,4:00 pm,Uganda Premier League,2020/21,3,Express FC Vs Soltilo Bright Stars FC,,7,home,Eric Kenzo Kambale,Regular
12/12/2020,4:00 pm,Uganda Premier League,2020/21,3,Express FC Vs Soltilo Bright Stars FC,,18,away,Augustine Gadaffi Kacancu,Regular
19/12/2020,3:00 pm,Uganda Premier League,2020/21,5,Express FC Vs SC Villa,,46,home,George Senkaaba,Regular
28/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Express FC Vs Onduparaka FC,,79,home,Eric Kenzo Kambale,Regular
28/04/2021,4:00 pm,Uganda Premier League,2020/21,21,Express FC Vs Onduparaka FC,,90,home,Eric Kenzo Kambale,Regular
05/03/2021,4:00 pm,Uganda Premier League,2020/21,12,Express FC Vs Busoga United FC,,23,home,Frank Kalanda,Penalty
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,5,home,Joshua Letti Lubwama,Penalty
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,18,home,Ivan Bogere,Regular
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,42,home,Frank Ssebuufu,Regular
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,44,home,Ivan Bogere,Regular
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,69,home,Viane Ssekajugo,Regular
07/05/2021,4:00 pm,Uganda Premier League,2020/21,22,Wakiso Giants FC Vs UPDF FC,,71,away,Hussein Hassan Zzinda,Regular
06/03/2021,4:00 pm,Uganda Premier League,2020/21,12,BUL FC Vs Wakiso Giants FC,,88,away,Viane Ssekajugo,Regular
20/12/2020,3:40 pm,Uganda Premier League,2020/21,5,Busoga United FC Vs Vipers SC,,17,away,Geoffrey Wasswa,Regular
20/12/2020,3:40 pm,Uganda Premier League,2020/21,5,Busoga United FC Vs Vipers SC,,24,home,George Kasonko,Regular
20/12/2020,3:40 pm,Uganda Premier League,2020/21,5,Busoga United FC Vs Vipers SC,,27,away,Geoffrey Wasswa,Regular
20/12/2020,3:40 pm,Uganda Premier League,2020/21,5,Busoga United FC Vs Vipers SC,,51,away,AbdulKarim Watambala,Regular
