Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
05/11/2019,4:30 pm,Uganda Premier League,2019/20,12,Kyetume FC Vs Busoga United FC,,10,home,Noel Nasasira,Regular
05/11/2019,4:30 pm,Uganda Premier League,2019/20,12,Kyetume FC Vs Busoga United FC,,80,away,Dan Ssewava,Regular
05/11/2019,4:30 pm,Uganda Premier League,2019/20,12,Kyetume FC Vs Busoga United FC,,90+2,home,Jonathan Mugabi,Regular
09/10/2019,8:00 pm,Uganda Premier League,2019/20,8,SC Villa Vs Wakiso Giants FC,,55,home,Amir Kakomo,Regular
09/10/2019,8:00 pm,Uganda Premier League,2019/20,8,SC Villa Vs Wakiso Giants FC,,74,home,David Owori,Regular
22/10/2019,4:00 pm,Uganda Premier League,2019/20,3,Vipers FC Vs BUL FC,,21,home,Frank Tumwesigye,Regular
22/10/2019,4:00 pm,Uganda Premier League,2019/20,3,Vipers FC Vs BUL FC,,26,home,Allan Thierry Kayiwa,Regular
22/10/2019,4:00 pm,Uganda Premier League,2019/20,3,Vipers FC Vs BUL FC,,30,away,Deogratious Ojok,Regular
18/01/2020,4:00 pm,Uganda Premier League,2019/20,18,Express FC Vs Proline FC,,8,home,Dennis Serukwaya,Penalty
18/01/2020,4:00 pm,Uganda Premier League,2019/20,18,Express FC Vs Proline FC,,10,away,Arnold Sserunjoji,Own Goal
18/01/2020,4:00 pm,Uganda Premier League,2019/20,18,Express FC Vs Proline FC,,62,home,Ivan Ocholit,Regular
28/02/2020,4:00 pm,Uganda Premier League,2019/20,24,SC Villa Vs Bright Stars FC,,16,away,Jamir Kalisa,Regular
28/02/2020,4:00 pm,Uganda Premier League,2019/20,24,SC Villa Vs Bright Stars FC,,63,home,Emmanuel Alex Wasswa,Regular
28/02/2020,4:00 pm,Uganda Premier League,2019/20,24,SC Villa Vs Bright Stars FC,,74,home,Benson Muhindo,Regular
26/02/2020,4:00 pm,Uganda Premier League,2019/20,24,Police FC Vs KCCA FC,,20,away,Herbert Achayi,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,22,home,Mike Mutyaba,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,28,home,Mustafa Kizza,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,48,away,Steven Sande,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,49,home,Sam Ssenyonjo,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,65,home,Muzamiru Mutyaba,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,80,away,Dennis Lubowa,Regular
23/11/2019,4:00 pm,Uganda Premier League,2019/20,5,KCCA FC Vs Kyetume FC,,86,home,Allan Okello,Regular
05/10/2019,4:00 pm,Uganda Premier League,2019/20,7,Tooro United FC Vs Kyetume FC,,41,away,Sharif Saaka,Regular
05/10/2019,4:00 pm,Uganda Premier League,2019/20,7,Tooro United FC Vs Kyetume FC,,90,away,Vincent Kayizzi,Regular
01/10/2019,4:00 pm,Uganda Premier League,2019/20,6,Proline FC Vs Express FC,,18,away,Dissan Galiwango,Regular
01/10/2019,4:00 pm,Uganda Premier League,2019/20,6,Proline FC Vs Express FC,,22,home,Noordin Saddic Bunjo,Regular
01/10/2019,4:00 pm,Uganda Premier League,2019/20,6,Proline FC Vs Express FC,,81,home,Musitafa Mujuzi,Regular
11/01/2020,3:00 pm,Uganda Premier League,2019/20,16,Wakiso Giants FC Vs Police FC,,2,away,Ben Ocen,Regular
11/01/2020,3:00 pm,Uganda Premier League,2019/20,16,Wakiso Giants FC Vs Police FC,,10,home,Geofrey Serunkuma,Regular
11/01/2020,3:00 pm,Uganda Premier League,2019/20,16,Wakiso Giants FC Vs Police FC,,68,away,Samson Andrew Kigozi,Regular
02/11/2019,4:00 pm,Uganda Premier League,2019/20,11,Busoga United FC Vs Vipers SC,,90+2,away,Bobosi Byaruhanga,Regular
22/10/2019,4:30 pm,Uganda Premier League,2019/20,4,Kyetume FC Vs Proline FC,,52,home,Robert Ssentongo,Regular
04/09/2019,8:00 pm,Uganda Premier League,2019/20,2,SC Villa Vs Mbarara City FC,,37,home,David Owori,Regular
04/09/2019,8:00 pm,Uganda Premier League,2019/20,2,SC Villa Vs Mbarara City FC,,43,home,Emmanuel Kalyowa,Regular
04/09/2019,8:00 pm,Uganda Premier League,2019/20,2,SC Villa Vs Mbarara City FC,,72,away,Brian Aheebwa,Regular
04/09/2019,8:00 pm,Uganda Premier League,2019/20,2,SC Villa Vs Mbarara City FC,,74,home,Ambrose Kirya,Regular
05/11/2019,1:15 pm,Uganda Premier League,2019/20,12,Express FC Vs Maroons FC,,13,home,Frank Kalanda,Penalty
05/11/2019,1:15 pm,Uganda Premier League,2019/20,12,Express FC Vs Maroons FC,,29,home,Frank Ssenyondo,Regular
05/11/2019,1:15 pm,Uganda Premier League,2019/20,12,Express FC Vs Maroons FC,,45,away,Fred Amaku,Regular
05/11/2019,1:15 pm,Uganda Premier League,2019/20,12,Express FC Vs Maroons FC,,53,away,Steven Dese Mukwala,Regular
02/02/2020,4:00 pm,Uganda Premier League,2019/20,20,Express FC Vs Mbarara City FC,,54,away,Makueth Wol,Regular
05/11/2019,4:30 pm,Uganda Premier League,2019/20,12,Police FC Vs URA FC,,15,away,Brian Majwega,Regular
09/10/2019,4:30 pm,Uganda Premier League,2019/20,8,Mbarara City FC Vs Maroons FC,,24,away,Pius Obuya,Regular
09/10/2019,4:30 pm,Uganda Premier League,2019/20,8,Mbarara City FC Vs Maroons FC,,78,home,Jude Ssemugabi,Regular
09/10/2019,4:30 pm,Uganda Premier League,2019/20,8,Mbarara City FC Vs Maroons FC,,90+3,away,Steven Dese Mukwala,Regular
02/02/2020,4:00 pm,Uganda Premier League,2019/20,20,Proline FC Vs Kyetume FC,,14,away,Robert Ssentongo,Regular
29/10/2019,4:30 pm,Uganda Premier League,2019/20,10,Police FC Vs Wakiso Giants FC,,16,away,Viane Ssekajugo,Regular
29/10/2019,4:30 pm,Uganda Premier League,2019/20,10,Police FC Vs Wakiso Giants FC,,62,home,Ben Ocen,Regular
29/10/2019,4:30 pm,Uganda Premier League,2019/20,10,Police FC Vs Wakiso Giants FC,,90,home,Pius Kaggwa,Regular
19/02/2020,4:30 pm,Uganda Premier League,2019/20,22,Proline FC Vs BUL FC,,1,away,Joseph Ssemujju,Regular
19/02/2020,4:30 pm,Uganda Premier League,2019/20,22,Proline FC Vs BUL FC,,15,home,Musitafa Mujuzi,Penalty
19/02/2020,4:30 pm,Uganda Premier League,2019/20,22,Proline FC Vs BUL FC,,46,home,Rodgers Mato Kassim,Regular
19/02/2020,4:30 pm,Uganda Premier League,2019/20,22,Proline FC Vs BUL FC,,76,home,Rodgers Mato Kassim,Regular
02/10/2019,4:30 pm,Uganda Premier League,2019/20,6,Onduparaka FC Vs Wakiso Giants FC,,5,home,Faizul Ibrahim Annin,Regular
16/11/2019,3:00 pm,Uganda Premier League,2019/20,15,KCCA FC Vs Vipers SC,,31,home,Muzamiru Mutyaba,Regular
16/11/2019,4:00 pm,Uganda Premier League,2019/20,15,Tooro United FC Vs Express FC,,30 (p),home,Willy Kavuma,Regular
16/11/2019,4:00 pm,Uganda Premier League,2019/20,15,Tooro United FC Vs Express FC,,62,away,Dissan Galiwango,Regular
16/11/2019,4:00 pm,Uganda Premier League,2019/20,15,Tooro United FC Vs Express FC,,66,away,Dissan Galiwango,Regular
12/10/2019,4:07 pm,Uganda Premier League,2019/20,9,URA FC Vs Mbarara City FC,,,,,
14/01/2020,4:00 pm,Uganda Premier League,2019/20,17,SC Villa Vs Busoga United FC,,75,home,Player,Own Goal
10/01/2020,4:30 pm,Uganda Premier League,2019/20,16,Maroons FC Vs Proline FC,,14,away,Hamis Diego Kizza,Regular
10/01/2020,4:30 pm,Uganda Premier League,2019/20,16,Maroons FC Vs Proline FC,,20,away,Hamis Diego Kizza,Regular
10/01/2020,4:30 pm,Uganda Premier League,2019/20,16,Maroons FC Vs Proline FC,,53,home,Steven Dese Mukwala,Regular
03/09/2019,4:00 pm,Uganda Premier League,2019/20,2,Vipers SC Vs Tooro United FC,,77,home,Fahad Bayo,Regular
04/03/2020,4:00 pm,Uganda Premier League,2019/20,25,Bright Stars FC Vs Mbarara City FC,,54,away,Jude Ssemugabi,Regular
04/03/2020,4:00 pm,Uganda Premier League,2019/20,25,Bright Stars FC Vs Mbarara City FC,,78,away,Jude Ssemugabi,Regular
04/03/2020,4:00 pm,Uganda Premier League,2019/20,25,Bright Stars FC Vs Mbarara City FC,,86,away,Solomon Ali Okwalinga,Regular
04/03/2020,4:00 pm,Uganda Premier League,2019/20,25,Bright Stars FC Vs Mbarara City FC,,90+6,home,Bernard Muwanga,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,KCCA FC Vs Police FC,,17,away,Ben Ocen,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,KCCA FC Vs Police FC,,21,home,Jackson Nunda,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,KCCA FC Vs Police FC,,24,away,Pius Kaggwa,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,KCCA FC Vs Police FC,,70,home,Jackson Nunda,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,KCCA FC Vs Police FC,,77,home,Erisa Ssekisambu,Regular
14/09/2019,3:00 pm,Uganda Premier League,2019/20,5,Vipers SC Vs Mbarara City FC,,20,away,Ibrahim Orit,Regular
14/09/2019,3:00 pm,Uganda Premier League,2019/20,5,Vipers SC Vs Mbarara City FC,,65,home,Fahad Bayo,Regular
14/09/2019,3:00 pm,Uganda Premier League,2019/20,5,Vipers SC Vs Mbarara City FC,,80,home,Fahad Bayo,Regular
14/09/2019,3:00 pm,Uganda Premier League,2019/20,5,Vipers SC Vs Mbarara City FC,,83,away,Hilary Panuel Mukundane,Regular
13/11/2019,4:30 pm,Uganda Premier League,2019/20,14,Police FC Vs Tooro United FC,,31,home,Samson Andrew Kigozi,Regular
13/11/2019,4:30 pm,Uganda Premier League,2019/20,14,Police FC Vs Tooro United FC,,43,home,Ben Ocen,Regular
13/11/2019,4:30 pm,Uganda Premier League,2019/20,14,Police FC Vs Tooro United FC,,78,home,Samson Andrew Kigozi,Regular
13/11/2019,4:30 pm,Uganda Premier League,2019/20,14,Police FC Vs Tooro United FC,,81,home,Musa Matovu,Regular
01/10/2019,4:30 pm,Uganda Premier League,2019/20,6,BUL FC Vs Maroons FC,,19,home,Robert Mukoghotya,Regular
01/10/2019,4:30 pm,Uganda Premier League,2019/20,6,BUL FC Vs Maroons FC,,89,home,Robert Mukoghotya,Regular
05/03/2020,4:00 pm,Uganda Premier League,2019/20,25,Maroons FC Vs Express FC,,65,away,Frank Kalanda,Regular
10/09/2019,5:20 pm,Uganda Premier League,2019/20,4,Tooro United Vs Maroons FC,,7,away,Solomon Walusimbi,Regular
10/09/2019,5:20 pm,Uganda Premier League,2019/20,4,Tooro United Vs Maroons FC,,68,away,Steven Dese Mukwala,Regular
10/01/2020,4:30 pm,Uganda Premier League,2019/20,16,Vipers SC Vs Kyetume FC,,9,home,Player,Regular
09/11/2019,4:00 pm,Uganda Premier League,2019/20,13,Bright Stars FC Vs SC Villa,,18,away,Derrick Ndahiro,Regular
07/03/2020,3:20 pm,Uganda Premier League,2019/20,25,Tooro United FC Vs SC villa,,39,away,Faizal Muwawu,Regular
08/02/2020,4:00 pm,Uganda Premier League,2019/20,21,Kyetume FC Vs URA FC,,2,home,Robert Ssentongo,Penalty
08/02/2020,4:00 pm,Uganda Premier League,2019/20,21,Kyetume FC Vs URA FC,,73,away,Saidi Kyeyune,Regular
10/01/2020,4:30 pm,Uganda Premier League,2019/20,16,Bright Stars FC Vs BUL FC,,74,home,Alfred Onek,Regular
07/01/2020,4:00 pm,Uganda Premier League,2019/20,16,URA FC Vs SC Villa,,2,home,Daniel Isiagi Opolot,Regular
07/01/2020,4:00 pm,Uganda Premier League,2019/20,16,URA FC Vs SC Villa,,64,home,Micheal Komunda Birungi,Regular
03/12/2019,4:30 pm,Uganda Premier League,2019/20,12,Proline FC Vs KCCA FC,,45,away,Sam Ssenyonjo,Regular
03/12/2019,4:30 pm,Uganda Premier League,2019/20,12,Proline FC Vs KCCA FC,,68,away,Nicholas Kasozi,Regular
03/12/2019,4:30 pm,Uganda Premier League,2019/20,12,Proline FC Vs KCCA FC,,78,away,Allan Okello,Regular
03/12/2019,4:30 pm,Uganda Premier League,2019/20,12,Proline FC Vs KCCA FC,,90+1,away,Allan Okello,Regular
06/11/2019,4:30 pm,Uganda Premier League,2019/20,12,Mbarara City FC Vs Bright Stars FC,,,,,
12/11/2019,4:30 pm,Uganda Premier League,2019/20,14,Vipers SC Vs URA FC,,64,home,Dan Muzeyi Sserunkuma,Regular
17/01/2020,4:50 pm,Uganda Premier League,2019/20,18,KCCA FC Vs Tooro United,,16,home,Sunday Opio,Regular
02/11/2019,4:00 pm,Uganda Premier League,2019/20,11,Bright Stars FC Vs Onduparaka FC,,70,home,Muhammed Kyeyune,Regular
22/02/2020,4:00 pm,Uganda Premier League,2019/20,23,Wakiso Giants FC Vs Kyetume FC,,2,away,Moses Ali Feni,Regular
22/02/2020,4:00 pm,Uganda Premier League,2019/20,23,Wakiso Giants FC Vs Kyetume FC,,80,home,Wahab Gadaffi,Penalty
31/08/2019,4:45 pm,Uganda Premier League,2019/20,1,Tooro United FC Vs Busoga United FC,,19,home,John Ssemazi,Regular
31/08/2019,4:45 pm,Uganda Premier League,2019/20,1,Tooro United FC Vs Busoga United FC,,29,away,Dan Ssewava,Regular
31/08/2019,4:45 pm,Uganda Premier League,2019/20,1,Tooro United FC Vs Busoga United FC,,55,home,Fredrick Nicholas Kigozi,Regular
