Date,Time,League,Season,Match Day,home_team,away_team,goal_minute,team_side,player_name,goal_type
27/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Arua Hill SC,Onduparaka FC,16,away,Amos Muwonge,Regular
27/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Arua Hill SC,Onduparaka FC,63,home,Reagan Mpande,Regular
27/11/2022,4:00 pm,Uganda Premier League,2022/23,10,Arua Hill SC,Onduparaka FC,85,home,Reagan Mpande,Regular
05/12/2022,4:00 pm,Uganda Premier League,2022/23,11,Busoga United FC,Soltilo Bright Stars FC,52,away,Ibrahim Kasinde,Regular
19/11/2022,4:00 pm,Uganda Premier League,2022/23,8,Arua Hill SC,SC Villa,49,away,Charles Bbaale,Penalty
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Blacks Power FC,URA FC,10,away,Alfred Leku,Regular
03/05/2023,4:00 pm,Uganda Premier League,2022/23,26,Blacks Power FC,URA FC,23,home,Dickens Okwir,Regular
23/11/2022,4:00 pm,Uganda Premier League,2022/23,9,Onduparaka FC,Wakiso Giants FC,,,,
02/12/2022,2:00 pm,Uganda Premier League,2022/23,11,Onduparaka FC,KCCA FC,32,away,Allan Okello,Penalty
02/12/2022,2:00 pm,Uganda Premier League,2022/23,11,Onduparaka FC,KCCA FC,45+2,away,Shaban Mohammad Jagason,Regular
27/05/2023,3:00 pm,Uganda Premier League,2022/23,30,Maroons FC,BUL FC,,,,
01/04/2023,2:00 pm,Uganda Premier League,2022/23,20,Soltilo Bright Stars FC,URA FC,39,away,Ibrahim Dada,Regular
01/04/2023,2:00 pm,Uganda Premier League,2022/23,20,Soltilo Bright Stars FC,URA FC,45+4,away,Living Kabon,Penalty
02/11/2022,4:00 pm,Uganda Premier League,2022/23,6,BUL FC,Onduparaka FC,81,home,Abdul Karim Ndugwa,Regular
19/05/2023,4:00 pm,Uganda Premier League,2022/23,29,Onduparaka FC,Blacks Power FC,43,home,Hood kakooza,Regular
05/10/2022,4:00 pm,Uganda Premier League,2022/23,2,Busoga United FC,Blacks Power FC,3,home,Ibrahim Kayiwa,Regular
05/10/2022,4:00 pm,Uganda Premier League,2022/23,2,Busoga United FC,Blacks Power FC,51,home,Franco Balabala Magero,Penalty
08/04/2023,7:00 pm,Uganda Premier League,2022/23,22,Vipers SC,Blacks Power FC,10,home,Abdul Karim Ndugwa,Regular
